# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select * from gw_cons_01  order by site_no' |# 02/19/2019 21:01:02, llorzol
#
agency_cd	site_no	cons_seq_nu	cons_dt	special_treat_cd	cons_contractor_nm	cons_src_cd	seal_depth_va	seal_cd	cons_meth_cd	dev_meth_cd	dev_du	finish_cd	cons_web_cd	cons_cn	cons_cr	cons_mn	cons_md
5s	15s	9n	8s	1s	12s	1s	4s	1s	1s	1s	3s	1s	1s	8s	25d	8s	25d
USGS	420049121211101	1	1937			A			H			X	Y	tiffany	06-SEP-2002 15:07:30	tiffany	06-SEP-2002 15:07:30
USGS	420049121211102	1	19920806		SEVEY	D	  93	G	A			X	Y	tiffany	10-SEP-2002 21:41:44	tiffany	10-SEP-2002 21:41:44
USGS	420049124122001	1	19581024		BARRINGTON	D	   0		C	N		P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420050121132601	1	19921023		STOREY, D	D	  19	G	H			X	Y	tiffany	26-MAR-2003 18:25:26	tiffany	26-MAR-2003 18:25:26
USGS	420050121224501	1	19920713		WILSON, W.L.	D	  45	G	H			X	Y	tiffany	14-NOV-2005 20:22:34	tiffany	14-NOV-2005 20:22:34
USGS	420050124122701	1	195406		SCHANAHAN	D	   0		C			P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420055121304001	1	20010611		STADELI, C.	D	 117	G	A			X	Y	tiffany	05-MAR-2004 13:28:48	tiffany	05-MAR-2004 13:28:48
USGS	420100121410031	1	19640306		E E STOREY	D	  78	G	C			X	Y	nwis	04-NOV-1998 00:00:00	nwis	27-AUG-1998 00:00:00
USGS	420100121415401	1	19750331		WILSON	D	  20	G	A			X	Y	tiffany	17-OCT-2000 21:01:40	tiffany	17-OCT-2000 21:01:40
USGS	420103121243501	1	19990514		STOREY	D	  31	G	H			X	Y	tiffany	10-SEP-2002 21:41:46	tiffany	10-SEP-2002 21:41:46
USGS	420105120322801	1	19771228		VAN METER	D	  34	B	C	P	4.0	X	Y	nwis	04-NOV-1998 00:00:00	nwis	08-MAY-1992 00:00:00
USGS	420107121415101	1	20021029		HUGHES	D	  19	B	A			X	Y	tiffany	27-FEB-2003 21:50:17	tiffany	27-FEB-2003 21:50:17
USGS	420110121355901	1	196709		WILSON	D	  19	G	C			X	Y	tiffany	26-APR-2001 15:14:47	tiffany	26-APR-2001 15:14:47
USGS	420111121421101	1	19590223		STOREY	D			C			X	Y	tiffany	17-OCT-2000 21:01:40	tiffany	17-OCT-2000 21:01:40
USGS	420114121335901	1	20011012		STOREY	D	  54	G	H			X	Y	tiffany	10-MAR-2004 13:26:07	tiffany	10-MAR-2004 13:26:07
USGS	420115121300601	1	20020415		DESPAIN, L.	D	 175	G	A			X	Y	tiffany	27-JUL-2006 17:24:39	tiffany	27-JUL-2006 17:24:39
USGS	420116121241801	1	19950215		DESPAIN	D	  20	G	A			X	Y	tiffany	10-SEP-2002 21:41:42	tiffany	10-SEP-2002 21:41:42
USGS	420120121355401	1	195806		WILSON	D	  56	G	C			X	Y	tiffany	26-APR-2001 17:34:22	tiffany	26-APR-2001 17:34:22
USGS	420124121122801	1	19540101										Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420125120182801	1	19811125		BUCKNER DRLG	D	  20	G	R	P	2.0	F	Y	nwis	04-NOV-1998 00:00:00	nwis	08-MAY-1992 00:00:00
USGS	420126121360201	1	19620601		WILSON	D	 760	G	C			X	Y	tiffany	26-APR-2001 17:34:21	tiffany	26-APR-2001 17:34:21
USGS	420128121250301	1	19780816		WILSON	D	  20	G	A			X	Y	tiffany	10-SEP-2002 15:47:16	tiffany	10-SEP-2002 15:47:16
USGS	420129121203701	1	1953		VANMETER, J.	A							Y	tiffany	14-NOV-2005 20:22:35	tiffany	14-NOV-2005 20:22:35
USGS	420129121203701	2	20010514		DESPAIN, L.	D			C			X	Y	tiffany	14-NOV-2005 20:22:35	tiffany	14-NOV-2005 20:22:35
USGS	420129121203701	3	20020322		OXLEY, D.	D			A			X	Y	tiffany	14-NOV-2005 20:22:35	tiffany	14-NOV-2005 20:22:35
USGS	420129121352301	1	19650613		W L WILSON	D	  35	G	C			X	Y	tiffany	17-OCT-2000 21:01:41	tiffany	17-OCT-2000 21:01:41
USGS	420129121355901	1	193911		VANMETER	D	 115	C	H			X	Y	tiffany	17-OCT-2000 21:01:42	tiffany	17-OCT-2000 21:01:42
USGS	420130121255701	1	19851014		VAN METER	D	  25	G	C			X	Y	tiffany	10-SEP-2002 15:47:13	tiffany	10-SEP-2002 15:47:13
USGS	420132120174901	1	19790814		SEVEY,GLEN	D	  20	G	C	P	1.5	P	Y	nwis	04-NOV-1998 00:00:00	nwis	16-SEP-1991 00:00:00
USGS	420132120174902	1	19810115		SEVEY,GLEN	D	  18	G	C	N		P	Y	nwis	04-NOV-1998 00:00:00	nwis	16-SEP-1991 00:00:00
USGS	420134121085601	1	19930727		SEVEY, N	D	  51	G	A			P	Y	tiffany	26-MAR-2003 18:25:24	tiffany	26-MAR-2003 18:25:24
USGS	420137121143001	1	19930605		STOREY, D	D	 192	G	H			X	Y	tiffany	20-FEB-2003 17:03:56	tiffany	20-FEB-2003 17:03:56
USGS	420137123101901	1	19790802		PAQUIN	D	  20	G	A	A	  1	X	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420141121234801	1	19911102		ZOLLER	D	  48	G	A			X	Y	tiffany	10-SEP-2002 15:47:17	tiffany	10-SEP-2002 15:47:17
USGS	420143121315001	1	20010618		HUGHES, S.R.	D	  78	G	A			X	Y	tiffany	14-NOV-2005 20:19:49	tiffany	14-NOV-2005 20:19:49
USGS	420143121423801	1	20021129		HUGHES	D	  37	B	A			X	Y	tiffany	27-FEB-2003 21:50:19	tiffany	27-FEB-2003 21:50:19
USGS	420146121422401	1	19850815		SEVEY	D	  39	G	A			X	Y	tiffany	17-OCT-2000 16:48:15	tiffany	17-OCT-2000 16:48:15
USGS	420146121425401	1	20021105		HUGHES	D	  38	B	A			X	Y	tiffany	27-FEB-2003 21:50:20	tiffany	27-FEB-2003 21:50:20
USGS	420154121250301	1	19920815		WILSON	D	  19	G	Z			X	Y	tiffany	10-SEP-2002 15:47:15	tiffany	10-SEP-2002 15:47:15
USGS	420158121115901	1	19731126		WILSON, W	A	  42	G				X	Y	tiffany	26-MAR-2003 18:25:22	tiffany	26-MAR-2003 18:25:22
USGS	420158121425901	1	194711		WILSON, J.S.				C			X	Y	tiffany	17-OCT-2000 16:48:14	tiffany	17-OCT-2000 16:48:14
USGS	420202121391201	1	195207		STOREY	D	   1	G	C			X	Y	tiffany	17-OCT-2000 21:01:44	tiffany	17-OCT-2000 21:01:44
USGS	420202121391201	2	19951115		DESPAIN	D			C			X	Y	tiffany	17-OCT-2000 21:01:44	tiffany	17-OCT-2000 21:01:44
USGS	420205124145501	1	19640702		BARRINGTON	D	  18	G	C	B	  1	P	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420206121355901	1	19590820		WILSON	D	  35	C	C			X	Y	tiffany	17-OCT-2000 21:01:42	tiffany	17-OCT-2000 21:01:42
USGS	420211121404401	1	19990323		HUGHES	D	  39	B	A			X	Y	tiffany	17-OCT-2000 21:01:46	tiffany	17-OCT-2000 21:01:46
USGS	420212121212601	1	1931		VAN METER	D	  14	G	C			X	Y	tiffany	25-NOV-2002 14:32:41	tiffany	25-NOV-2002 14:32:41
USGS	420212121225101	1	19810113		STOREY	D	  20	G	A			X	Y	tiffany	09-SEP-2002 19:45:00	tiffany	09-SEP-2002 19:45:00
USGS	420212121313301	1	19920619		SEVEY, N.	D	  81	G	A			X	Y	tiffany	14-NOV-2005 20:17:50	tiffany	14-NOV-2005 20:17:50
USGS	420215121371028	1	19670315		WILSON DRLG	D	  45	G	C			X	Y	nwis	04-NOV-1998 00:00:00	nwis	28-AUG-1998 00:00:00
USGS	420216121400401	1	19760517		MCCLANE	D	 210	G	C			P	Y	tiffany	17-OCT-2000 21:01:45	tiffany	17-OCT-2000 21:01:45
USGS	420216121400401	2	19960329		CHANCELLOR	D			A			X	Y	tiffany	17-OCT-2000 21:01:45	tiffany	17-OCT-2000 21:01:45
USGS	420217121380101	1	19800122		WILSON	D	  20	G	A			X	Y	tiffany	17-OCT-2000 21:01:43	tiffany	17-OCT-2000 21:01:43
USGS	420217121433401	1	19701003		STOREY	D	  35	G	A			X	Y	tiffany	17-OCT-2000 21:01:38	tiffany	17-OCT-2000 21:01:38
USGS	420217123431401	1	19781010		CLOUSER	D	  18	G	A	C	  1	O	Y	nwis	04-NOV-1998 00:00:00	nwis	07-OCT-1985 00:00:00
USGS	420220121253701	1	19920512		DESPAIN	D	  42	G	A			X	Y	tiffany	10-SEP-2002 15:47:09	tiffany	10-SEP-2002 15:47:09
USGS	420220121380301	1	19850403		SEVEY	D	  38	G	A			X	Y	tiffany	17-OCT-2000 16:48:10	tiffany	17-OCT-2000 16:48:10
USGS	420221121353601	1	19840602		WILSON	D	  40	G	A			X	Y	tiffany	17-OCT-2000 16:48:12	tiffany	17-OCT-2000 16:48:12
USGS	420221121363901	1	19971229		PRICKARD	D	  36	G	A			X	Y	tiffany	17-OCT-2000 16:48:12	tiffany	17-OCT-2000 16:48:12
USGS	420221121433101	1	19770226		STOREY	D	  40	B	A			X	Y	tiffany	17-OCT-2000 16:48:16	tiffany	17-OCT-2000 16:48:16
USGS	420221121433101	2	19881116		DESPAIN	D			C			X	Y	tiffany	17-OCT-2000 16:48:16	tiffany	17-OCT-2000 16:48:16
USGS	420221121522401	1	19721006		POWELL	D	  40	G	C			X	Y	tiffany	13-OCT-2000 21:34:25	tiffany	13-OCT-2000 21:34:25
USGS	420222121433901	1	19750304		STOREY	D	  35	B	A			X	Y	tiffany	16-OCT-2000 21:28:39	tiffany	16-OCT-2000 21:28:39
USGS	420222121433901	2	19790608		STOREY	D			A			X	Y	tiffany	16-OCT-2000 21:28:39	tiffany	16-OCT-2000 21:28:39
USGS	420224121224701	1	19800516		STOREY, E.E.	D	  57	G	A			X	Y	tiffany	09-SEP-2002 17:08:38	tiffany	09-SEP-2002 17:08:38
USGS	420227121120701	1	19770915		STOREY, E	D	  59	G	A			X	Y	tiffany	20-FEB-2003 17:04:03	tiffany	20-FEB-2003 17:04:03
USGS	420227121120701	2	19910531		CHANCELLOR	D			C			P	Y	tiffany	20-FEB-2003 17:04:04	tiffany	20-FEB-2003 17:04:04
USGS	420228121274301	1	20010429		CHANCELLOR	D	  59	G	A			X	Y	tiffany	14-NOV-2005 20:19:51	tiffany	14-NOV-2005 20:19:51
USGS	420228121535701	1	19800620		HARTLEY	D	  18	G	A			X	Y	tiffany	11-OCT-2000 20:19:01	tiffany	11-OCT-2000 20:19:01
USGS	420229121253601	1	19810914		VAN METER	D	  19	G	C			X	Y	tiffany	10-SEP-2002 15:47:08	tiffany	24-OCT-2002 13:35:10
USGS	420229121521701	1	19971010		CHANCELLER	D	  19	B	A			P	Y	tiffany	13-OCT-2000 21:34:26	tiffany	13-OCT-2000 21:34:26
USGS	420230121285201	1	19690531		VANMETER, J.	D	  19	G	C			X	Y	tiffany	27-JUL-2006 13:07:51	tiffany	27-JUL-2006 13:07:51
USGS	420231121432901	1	19830210		VANMETER	D			C			P	Y	tiffany	16-OCT-2000 21:28:40	tiffany	16-OCT-2000 21:28:40
USGS	420232120311701	1	19810607		VAN METER,J.	D	  20	G	C	P	5.0	P	Y	nwis	04-NOV-1998 00:00:00	nwis	16-SEP-1991 00:00:00
