# RDB data retrieved from Oracle.
#
# $Log$
# tsql nwisor -rdb 'select r.*, G.* from gw_reflist r right join gw_gwdd g on g.edit_table_nm = r.gw_ed_tbl_nm ' |# 02/19/2019 21:10:55, llorzol
#
gw_ed_tbl_nm	gw_ref_cd	gw_ref_nm	gw_sort_nu	gw_ref_ds	gw_valid_fg	parameter_cd	parameter_nm	col_width_nu	parameter_tp	parameter_var_nm	mtrc_unit_fc	mtrc_unit_prec_fc	insert_file_nm	insert_subfile_nm	start_byte_nu	parameter_len_nu	parameter_ptr_va	sig_fig_vector_tx	mandatory_fg	special_test_nu	edit_table_nm	head_1_tx	head_2_tx	head_3_tx	english_unit_tx	metric_unit_tx	missing_tx	reflist_insert_cd	reflist_update_cd	reflist_check_cd	valid_codes_nu	edit_table_nm_len_nu	record_type_nu	sub_record_type_nu	edit_option_tx	district_default_opt_nu	district_default_tx	table_nm	column_nm	gwdd_mn	gwdd_md
24s	128s	16s	9n	255s	1s	5s	50s	9n	2s	32s	8s	2s	32s	32s	9n	9n	5s	10s	1s	9n	24s	32s	32s	32s	32s	32s	32s	1s	1s	1s	9n	9n	9n	9n	6s	9n	128s	32s	32s	8s	25d
sdist	24	MD,DE,DC	23	MARYLAND, DELAWARE, DISTRICT OF COLUMBIA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	23	MAINE	22	MAINE	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	22	LOUISIANA	21	LOUISIANA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	21	KENTUCKY	20	KENTUCKY	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	20	KANSAS	19	KANSAS	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	19	IOWA	18	IOWA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	18	INDIANA	17	INDIANA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	17	ILLINOIS	16	ILLINOIS	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	16	IDAHO	15	IDAHO	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	15	HAWAII	14	HAWAII	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	13	GEORGIA	13	GEORGIA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	125	FL,ALT SPRINGS	12	FLORIDA, ALTAMONTE SPRINGS	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	124	FL,TAMPA	11	FLORIDA, TAMPA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	123	FL,TALLAHASSEE	10	FLORIDA, TALLAHASSEE	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	122	FL,FT.LAUDERDALE	9	FLORIDA, FT. LAUDERDALE	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	12	FLORIDA	8	FLORIDA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	09	CONNECTICUT	7	CONNECTICUT	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	08	COLORADO	6	COLORADO	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	06	CALIFORNIA	5	CALIFORNIA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	05	ARKANSAS	4	ARKANSAS	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	04	ARIZONA	3	ARIZONA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	02	ALASKA	2	ALASKA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
sdist	01	ALABAMA	1	ALABAMA	Y	C006	District code	8	23	SDIST	 0	 0	SITE	none	182	3	 0		Y	2	sdist				DISTRICT	DISTRICT	--	6	6	6	55	5	1	0	YYYYYY	2	41	sitefile_##	district_cd	nwis	20-NOV-2018 20:48:01
						C007	State code	5	20	SSTATE	 0	 0	SITE	none	187	2	 0		Y	3	sstate				STATE	STATE	--	6	6	6	0	6	1	0	YYYYYY	2	41	sitefile_##	state_cd	nwis	20-NOV-2018 20:48:01
						C008	County code	6	20	SCNTY	 0	 0	SITE	none	189	3	 0		Y	4	scnty				COUNTY	COUNTY	--	6	6	6	0	5	1	0	YYYYYY	0		sitefile_##	county_cd	nwis	20-NOV-2018 20:48:01
						C009	Latitude	8	12	SLAT	 0	 0	SITE	none	120	10	 0	9999999992	X	5	slat			LATITUDE	(DDMMSS)	(DDMMSS)	--	6	2	6	0	4	1	0	YYYYYN	0		sitefile_##	lat_va	nwis	20-NOV-2018 20:48:01
						C010	Longitude	9	12	SLONG	 0	 0	SITE	none	131	11	 0	9999999992	X	6	slon			LONGITUDE	(DDDMMSS)	(DDDMMSS)	--	6	2	6	0	4	1	0	YYYYYN	0		sitefile_##	long_va	nwis	20-NOV-2018 20:48:01
scorac	U	Unknown	13	Unknown or unspecified.	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	T	10 seconds	11	Accurate to + or - 10  sec.	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	S	Second	8	Accurate to + or - 1   sec.	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	R	3 seconds	9	Accurate to + or - 3   sec (SPS GPS).	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	M	Minute	12	Accurate to + or - 1   min.	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	H	Hndrth second	5	Accurate to + or - .01 sec (Differentially-Corrected GPS).	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	F	5 seconds	10	Accurate to + or - 5   sec.	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	E	Level 4 SGPS	4	Level 4 survey-grade GPS	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	D	Level 3 SGPS	3	Level 3 survey-grade GPS	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	C	Level 2 SGPS	2	Level 2 survey-grade GPS	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	B	Level 1 SGPS	1	Level 1 survey-grade GPS	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
scorac	5	Half second	7	Accurate to + or - .5  sec (PLGR/PPS GPS).	Y	C011	Lat/Long accuracy code	8	22	SCORAC	 0	 0	SITE	none	171	1	 0		X	49	scorac	  LAT	  LONG	ACCURACY	  CODE	  CODE	--	6	2	6	13	6	1	0	YYYYYY	0		sitefile_##	coord_acy_cd	nwis	20-NOV-2018 20:48:01
